Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10291	1	7	18	21	0	19	1	18	2	1	20	1
contig#10292	81	85	189	485	88	531	18	408	57	81	418	65
contig#10293	83	121	667	1940	92	1260	13	1193	87	64	1519	56
contig#10294	268	389	335	539	375	533	91	383	206	461	369	202
contig#10295	54	43	279	135	33	709	10	952	117	82	465	12
contig#10296	457	94	156	318	139	456	510	343	146	648	257	499
contig#10298	10	17	54	84	23	77	4	65	10	20	47	16
contig#10299	10	9	8	41	15	16	2	6	9	8	6	10
contig#103	42748	45325	12782	8596	29141	13528	51566	8081	35616	46305	5710	24350
contig#1030	1131	2725	8596	21856	4344	14009	830	6264	987	3519	8853	3563
contig#10300	23	22	24	50	12	62	3	38	11	14	56	11
contig#10301	220	192	738	1720	310	1629	105	1143	207	357	1697	246
contig#10302	1103	145	227	8145	107	217	15	50	18	62	6304	834
contig#10303	313	47	294	452	57	467	160	231	62	311	377	335
contig#10304	48	86	38	109	96	100	16	58	49	84	76	65
contig#10305	28	30	44	62	29	75	11	47	7	38	58	19
contig#10306	76	108	181	280	223	343	56	268	100	161	250	79
contig#10307	7	17	138	148	3	12	0	24	43	5	58	4
contig#10308	20	17	37	66	18	48	2	44	2	13	42	10
contig#10309	74	61	82	225	41	275	63	175	32	102	175	123
contig#1031	51	68	272	621	101	409	12	344	36	53	444	47
contig#10310	48	31	187	412	61	321	21	311	23	74	352	48
contig#10311	15	33	33	43	40	68	10	40	30	25	31	8
contig#10312	8	12	60	104	9	99	5	100	7	13	121	7
contig#10313	30	16	58	144	25	122	11	104	21	31	108	23
contig#10314	217	208	281	442	246	546	73	397	111	292	342	132
contig#10315	98	58	245	826	101	783	28	461	35	129	483	67
contig#10316	9	5	8	14	11	21	3	16	9	10	15	4
contig#10317	37	82	66	59	82	97	69	79	71	153	86	77
contig#10318	62	92	120	221	121	230	30	141	54	134	176	58
contig#10319	137	20	198	569	21	524	21	373	27	49	402	81
contig#1032	535	671	1427	2071	854	1839	99	1686	635	734	1691	586
contig#10320	30	51	179	446	52	421	4	317	24	41	500	23
contig#10321	24	10	66	162	9	76	7	67	5	23	119	42
contig#10322	4	4	20	30	0	22	0	36	2	1	31	1
contig#10323	334	475	985	1848	614	2073	138	1590	300	674	1559	332
