"logFC"	"logCPM"	"F"	"PValue"
"contig#10241"	-0.536729528182669	3.91092979050793	1.94230306928723	0.186234198911436
"contig#10242"	-0.446183817403974	2.51446150131309	0.495353767885474	0.4936683120321
"contig#10243"	0.301702445868044	4.39775480389557	2.58257248260214	0.131219753898673
"contig#10244"	0.619215052417154	1.93737209066598	4.25588747236304	0.0589404092677604
"contig#10245"	0.273029551150156	3.40641674259007	0.163905269811933	0.692012141403648
"contig#10246"	0.168190727776042	2.37339809018392	0.567794036449175	0.464102173001214
"contig#10247"	-0.0173978177891573	2.99092601722748	0.00350663337014066	0.953652167925301
"contig#10248"	-0.173453818300619	1.04366269276163	0.0241340705789765	0.878873581844895
"contig#10249"	0.250244461978091	1.39696656291948	0.385354064047432	0.545218486976257
"contig#1025"	-0.0733304126748283	5.73498737462482	0.0764369321769782	0.786408197512044
"contig#10250"	-0.40265696930461	2.76534405519316	0.234271571179314	0.636234430793856
"contig#10251"	0.162395631838305	3.11254135914955	0.617748909253705	0.44548879415694
"contig#10252"	0.460333223257355	3.48778020846249	3.67879046306361	0.0765526129456177
"contig#10253"	-0.0069929564807865	3.81298431112568	0.000664936272189898	0.97980821184283
"contig#10254"	-0.0802537971063146	2.13001634879751	0.0186872822516128	0.893311207375952
"contig#10255"	-0.333678295441969	0.191282467263884	0.115639251017883	0.7391153830429
"contig#10256"	0.472203919499878	0.171283541201012	0.763074393764686	0.397842058026035
"contig#10257"	-0.0245702165999805	3.24434621310664	0.00812900110819986	0.929487567458048
"contig#10258"	0.154474928233138	-0.187717015167868	0.106716420918096	0.748989748213399
"contig#10259"	0.298367080708397	-0.637425177013976	0.420456081508016	0.527702482132077
"contig#1026"	0.286066322395964	6.3846528316055	1.20346194999719	0.291861037239098
"contig#10260"	0.0795989943829258	0.202963449050734	0.020809396015547	0.887458954913694
"contig#10261"	0.292153938284575	3.22952559838131	0.310670122768325	0.586513409223352
"contig#10262"	-0.591481880938217	2.70053361808943	0.576610579316087	0.460870567406204
"contig#10263"	0.358118450157973	-0.458054928512081	0.946982975437132	0.347636812033241
"contig#10264"	-0.23648057682024	2.58741754637661	0.515320452164806	0.485201207207364
"contig#10265"	-0.142508369679701	2.32656343428062	0.220268535235815	0.646340026137435
"contig#10266"	0.403319980855859	3.40179136546445	0.519686246324222	0.483435517975457
"contig#10267"	0.114531378873249	4.45636738337896	0.157629960076092	0.697635817437775
"contig#10268"	-0.158683469186021	3.81770656459959	0.185269330166999	0.673765462448607
"contig#10269"	0.438249918002565	1.188022107246	0.507141005994823	0.488664547795325
"contig#1027"	0.14872679738945	3.81720281385233	0.499017416495135	0.491968589094141
"contig#10270"	0.0245041912482802	3.29809033109028	0.0206383362720927	0.887895114110491
"contig#10271"	-0.162028040384418	2.80512005577748	0.0171617485429125	0.897730812452182
"contig#10272"	0.0196913426207659	4.28018196240955	0.00666316921629418	0.93614318859033
"contig#10273"	-0.509910711394983	5.09021415210228	9.84739182298792	0.00755837290514939
"contig#10274"	0.192229172447128	4.93642852626038	1.19845904978803	0.292815221231637
"contig#10275"	0.0440101117818538	1.87297763682456	0.00666124697403626	0.936165261640847
"contig#10276"	-0.500418485845072	1.53043237328795	1.12298233807525	0.308113964759127
"contig#10277"	0.100995156596973	3.88762185724904	0.0597921812759393	0.810550777542998
"contig#10279"	-0.643109788699316	2.68877012691913	1.13624443087477	0.305386249020686
"contig#1028"	0.482420146192198	6.67813064060925	1.12505791403831	0.307684820412506
"contig#10280"	-0.186963704239224	3.72956061284552	0.223703351453794	0.643888548870561
"contig#10281"	0.285131704731397	5.26600783700871	2.33926563934231	0.149283485640796
"contig#10282"	0.216534791426461	2.61257758112764	0.256356573862818	0.620909860223486
"contig#10284"	0.495231302721672	0.444064894805492	0.745362762098283	0.40322504561092
"contig#10285"	-1.25005770519342	3.69472028064215	3.77775032223597	0.0733702756133259
"contig#10286"	0.736603017142357	10.229378576044	0.564563560819344	0.465495086646692
"contig#10287"	-0.213716866375302	2.23048410147751	0.208818159824121	0.655057904679345
"contig#10288"	0.143581780495522	2.77794947508449	0.100721677355754	0.755884813457712
"contig#10289"	0.298486018095595	3.03054855161136	0.415012753440524	0.530372761129499
"contig#1029"	0.24891512290441	2.47225660370147	0.904539065291589	0.358318235031976
"contig#10290"	0.719314824964745	0.0381369279436231	3.26761301044296	0.0930548594432245
"contig#10292"	0.0920246955131984	3.17541121452256	0.107527006282747	0.748032349296186
"contig#10293"	0.0200337754593813	4.3102794794071	0.000848058195249216	0.97719950994554
"contig#10294"	-0.0405255981951264	4.41840543210096	0.0130310757879349	0.91081851619911
"contig#10295"	1.57775319206915	3.27717222867926	6.7421019831121	0.0217999554085177
"contig#10296"	0.870458020974699	4.88027341073691	1.22598277381158	0.287782843056742
"contig#10297"	0.0367520893615253	-0.109888695973301	0.00347974201175736	0.95383634640372
"contig#10298"	0.143123800787467	0.765455414195961	0.266088670367493	0.614328119926515
"contig#103"	0.830944403946774	11.5388580057886	0.622486475969037	0.443940515810749
"contig#1030"	-0.206565556705953	8.0628974285332	0.33222359048393	0.573893998068863
"contig#10300"	-0.219640346290436	0.494063255533121	0.501037993352341	0.626467883985099
"contig#10301"	0.154174237828231	4.90074109209878	0.339832060046241	0.569646744557373
"contig#10302"	-4.35329549756788	5.62152896957858	31.9693588063196	7.17935277898824e-05
"contig#10303"	0.173142716764421	4.01985098189202	0.0862697999141733	0.773500249238862
"contig#10304"	-0.395548968064467	2.18052974912643	0.770894976256698	0.395500368009752
"contig#10305"	0.00297049166312558	1.15505092207341	8.84004108736038e-05	0.992636079471952
"contig#10306"	0.195077825461289	3.33686088643356	0.550878178153658	0.470701468858835
"contig#10307"	0.747442792776716	0.88151125238538	0.6908031643946	0.420539585042316
"contig#10308"	-0.40450012590732	0.392347628254092	1.19497381119132	0.293489211631773
"contig#10309"	0.213528086327509	2.75697131746618	0.268743651326314	0.612678508254588
"contig#1031"	-0.128263093358533	2.98205451297463	0.0992911753574346	0.757563562407036
"contig#10310"	0.190111808777747	2.66302409244999	0.289089885012563	0.59967194439135
"contig#10311"	0.22201355795976	1.01005177835828	0.245076986309796	0.628628069962728
"contig#10312"	0.366204033433407	0.861131121309841	0.560433881489506	0.467098356429967
"contig#10313"	0.250441549212507	1.43140012808716	0.775355157990918	0.394001783864483
