	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#18590	2.37790996	3.722298233	3.667306647	0.002582069	0.331456113	-1.410778295
contig#3070	1.958219055	9.613054536	3.730875351	0.002278392	0.325339079	-1.411602024
contig#18615	2.0228328	1.886129779	3.642837394	0.002709614	0.33711913	-1.417098016
contig#15880	1.525558656	3.989301124	3.670004944	0.002568381	0.331456113	-1.41913769
contig#36754	-1.1954665	0.557948082	-3.653194626	0.002654867	0.334585841	-1.421258904
contig#41528	2.72490034	-0.99735621	3.815700395	0.001928722	0.318507357	-1.431992938
contig#15515	1.216579266	1.689410621	3.633422158	0.002760372	0.33732783	-1.433176292
contig#13831	3.526063177	2.297279037	3.632367828	0.002766116	0.33732783	-1.434991333
contig#20164	-1.624082293	-0.16005399	-3.677983434	0.002528337	0.328534689	-1.439293453
contig#1983	1.446612277	3.983948996	3.659047152	0.002624427	0.332772568	-1.439345365
contig#40917	1.771326782	2.802267231	3.63751198	0.002738207	0.33711913	-1.44067505
contig#25930	1.40583547	2.080264102	3.6276218	0.00279212	0.338921777	-1.445457737
contig#30878	5.103486224	0.653763507	3.682090943	0.002507969	0.328534689	-1.454769742
contig#51393	1.400722794	-0.088235885	3.660379064	0.002617549	0.332772568	-1.4573094
contig#40080	1.638396353	1.608922093	3.619114633	0.002839353	0.339613549	-1.457862138
contig#51041	2.999680229	-2.020149125	4.019233751	0.001295665	0.309917556	-1.460921195
contig#57750	2.568349806	0.213727889	3.648264722	0.002680785	0.335810805	-1.464608314
contig#18880	1.841247982	0.015071281	3.642656737	0.002710579	0.33711913	-1.476254254
contig#27242	0.8687847	2.304516258	3.61042645	0.002888424	0.34075021	-1.480543558
contig#18310	1.895050882	1.504005108	3.605973859	0.002913904	0.341110843	-1.480789159
contig#37393	1.384902771	0.333866624	3.624267987	0.002810645	0.338921777	-1.481720766
contig#34734	3.688587699	-0.787119326	3.788010318	0.002036432	0.318628604	-1.487452608
contig#49204	2.21131362	-1.181603816	3.780161992	0.002068058	0.321006738	-1.488598922
contig#53796	2.978441383	-1.758448876	3.921986869	0.001566328	0.31721796	-1.489250082
contig#21249	2.120218982	3.62772838	3.622505795	0.002820429	0.338966481	-1.489364563
contig#44393	3.670475407	0.590565531	3.626157738	0.002800192	0.338921777	-1.493401731
